"","state","year","smoothed_pcinc","nat_avg_pcinc","index_number","allotment_pct","population","weighted_pop","allocation_share","total_federal_hbfunds","predicted_allocation"
"1","Alabama",1947,723.666666666667,1099.90972222222,0.657932784887649,0.671033607556176,2944000,1325642.28567125,0.0396437344481531,7.5e+07,2973280.08361148
"2","Alabama",1948,755,1142.67361111111,0.660731106992008,0.669634446503996,2969000,1331330.15678385,0.039403264145658,7.5e+07,2955244.81092435
"3","Alabama",1949,775.666666666667,1187.54861111111,0.653166244656652,0.673416877671674,3e+06,1360470.8733992,0.0392618761957182,7.5e+07,2944640.71467887
"4","Alabama",1950,806,1255.18055555556,0.642138691865933,0.678930654067033,3058000,1409575.41541152,0.039691607908531,1.5e+08,5953741.18627965
"5","Alabama",1951,832,1298.19444444444,0.640890125173853,0.679554937413074,3059000,1412630.63875225,0.0393995833481772,8.5e+07,3348964.58459507
"6","Alabama",1952,867.666666666667,1355.4375,0.640137716911821,0.679931141544089,3068000,1418355.90401676,0.0392527974930489,82500000,3238355.79317653
"7","Alabama",1953,923.666666666667,1430.39583333333,0.645742000320424,0.677128999839788,3053000,1399811.74244057,0.0384323278305667,7.5e+07,2882424.5872925
"8","Alabama",1954,1015.33333333333,1547.58333333333,0.656076678692585,0.671961660653707,3014000,1360918.8747929,0.036803558883338,6.5e+07,2392231.32741697
"9","Alabama",1955,1099.33333333333,1641.98611111111,0.669514392292532,0.665242803853734,3050000,1349771.36364149,0.0360889803952575,9.6e+07,3464542.11794472
"10","Alabama",1956,1129.66666666667,1678.21527777778,0.673135730335219,0.663432134832391,3071000,1351676.6886093,0.0357915156127423,109800000,3929908.41427911
"11","Alabama",1957,1185.33333333333,1717.28472222222,0.690236929260905,0.654881535369547,3109000,1333356.28706904,0.0350066421648045,123800000,4333822.3000028
"12","Alabama",1958,1250.66666666667,1771.44444444444,0.706015179075456,0.646992410462272,3163000,1324029.20379625,0.0343533036119249,1.2e+08,4122396.43343098
"13","Alabama",1959,1345.66666666667,1854.77083333333,0.725516404766986,0.637241797616507,3204000,1301071.05604897,0.0332654772523123,1.85e+08,6154113.29167778
"14","Alabama",1960,1407,1922.90972222222,0.731703617564527,0.634148191217736,3274000,1316619.22166256,0.0329300398117824,1.85e+08,6092057.36517975
"15","Alabama",1961,1459,1984.125,0.735336735336735,0.632331632331632,3316000,1325880.36040767,0.0326419355838166,1.85e+08,6038758.08300608
"16","Alabama",1962,1500,2041.64583333333,0.734701374503821,0.632649312748089,3323000,1330014.64315525,0.0322424871351938,209728000,6762152.34188992
"17","Arizona",1947,1056,1099.90972222222,0.960078794345496,0.519960602827252,652000,176274.086577097,0.00527153000012717,7.5e+07,395364.750009538
"18","Arizona",1948,1092,1142.67361111111,0.955653468655991,0.522173265672005,690000,188138.79437397,0.00556832771569733,7.5e+07,417624.5786773
"19","Arizona",1949,1135.33333333333,1187.54861111111,0.956031039665043,0.521984480167479,714000,194542.007440499,0.00561429455076186,7.5e+07,421072.09130714
"20","Arizona",1950,1199.33333333333,1255.18055555556,0.955506622553196,0.522246688723402,756000,206192.652535214,0.00580608730016646,1.5e+08,870913.095024969
"21","Arizona",1951,1261.66666666667,1298.19444444444,0.971862629720766,0.514068685139617,785000,207449.291237322,0.00578595382006199,8.5e+07,491806.074705269
"22","Arizona",1952,1323,1355.4375,0.976068612532854,0.511965693733573,842000,220695.669853603,0.00610772120863528,82500000,503886.999712411
"23","Arizona",1953,1425.33333333333,1430.39583333333,0.996460769891784,0.501769615054108,894000,225084.835452844,0.00617978398347386,7.5e+07,463483.798760539
"24","Arizona",1954,1563.66666666667,1547.58333333333,1.01039254752033,0.494803726239836,933000,228427.068758271,0.00617739178382154,6.5e+07,401530.4659484
"25","Arizona",1955,1681.33333333333,1641.98611111111,1.02396318821211,0.488018405893946,987000,235065.858952882,0.0062849808522076,9.6e+07,603358.16181193
"26","Arizona",1956,1706,1678.21527777778,1.01655611326517,0.491721943367417,1053000,254605.364477247,0.00674178370801909,109800000,740247.851140496
"27","Arizona",1957,1718.33333333333,1717.28472222222,1.00061062158042,0.499694689209791,1125000,280906.630227528,0.00737507145049145,123800000,913033.845570842
"28","Arizona",1958,1764,1771.44444444444,0.99579752869598,0.50210123565201,1193000,300762.041456028,0.00780358144326188,1.2e+08,936429.773191426
