"","stateyear","predicted","hbfunds"
"641","texas_1947",4815133.67626942,1701423
"642","texas_1948",4973003.30754953,13577354
"643","texas_1949",4923505.68878564,1839438
"644","texas_1950",9988131.96181076,10445763
"645","texas_1951",5485242.10862073,2758382
"646","texas_1952",5268821.70280872,6203386
"647","texas_1953",4625935.58502766,1012500
"648","texas_1954",4092108.96013259,2698320
"649","texas_1955",6252026.41666027,4130352
"650","texas_1956",7107947.17916078,7966591
"651","texas_1957",8078299.99280537,8518067
"652","texas_1958",7785734.77006706,5040075
"653","texas_1959",12077868.6418996,11049388
"654","texas_1960",12157706.1744747,17963508
"655","texas_1961",12255591.2349746,5529846
"656","texas_1962",14271030.5893705,17212085
"657","utah_1947",359594.494168909,NA
"658","utah_1948",400769.401275393,618103
"659","utah_1949",402337.378018661,124140
"660","utah_1950",838490.404912907,1247765
"661","utah_1951",466267.138100931,NA
"662","utah_1952",458177.405287077,541251
"663","utah_1953",407523.515002081,562910
"664","utah_1954",353541.867341809,804304
"665","utah_1955",542577.845973934,665843
"666","utah_1956",653933.300275861,953331
"667","utah_1957",757671.803702043,162792
"668","utah_1958",740989.74273349,1660624
"669","utah_1959",1136212.95233263,505158
"670","utah_1960",1139206.87454134,1391450
"671","utah_1961",1153947.17221747,3685077
"672","utah_1962",1317020.52417408,352579
"673","vermont_1947",248154.052879577,NA
"674","vermont_1948",243781.894199713,818569
"675","vermont_1949",238327.902290686,92648
"676","vermont_1950",484477.124735277,780106
"677","vermont_1951",282865.152209191,NA
"678","vermont_1952",284213.15208791,84337
"679","vermont_1953",264921.806742201,NA
"680","vermont_1954",228000.979863387,NA
"681","vermont_1955",327867.632552297,402398
"682","vermont_1956",370005.475399493,1189783
"683","vermont_1957",406394.926236157,707171
"684","vermont_1958",382542.082943219,201585
"685","vermont_1959",582482.870300707,1513662
"686","vermont_1960",566813.236655943,95550
"687","vermont_1961",556717.750333868,524700
"688","vermont_1962",615867.589297662,487735
"689","virginia_1947",2580110.74064376,NA
"690","virginia_1948",2438973.57566873,4566565
"691","virginia_1949",2441960.94351156,5271067
"692","virginia_1950",4744908.72709677,230137
"693","virginia_1951",2739206.19566356,2661777
"694","virginia_1952",2584754.33296243,4869664
"695","virginia_1953",2293344.78474054,339489
"696","virginia_1954",1904767.07654723,14588
"697","virginia_1955",2785231.20363275,2624596
"698","virginia_1956",3231285.62327019,3832141
"699","virginia_1957",3704729.79835443,3578292
"700","virginia_1958",3574848.17840301,7444491
"701","virginia_1959",5564695.57815544,2514764
"702","virginia_1960",5589432.33365177,5641182
"703","virginia_1961",5676620.57715117,3235309
"704","virginia_1962",6423926.67121814,5903559
"705","washington_1947",550789.437084772,NA
"706","washington_1948",677885.257246069,451573
"707","washington_1949",780099.99336315,826854
"708","washington_1950",1636417.65856117,1376956
"709","washington_1951",909750.745672116,693260
"710","washington_1952",876535.641951014,2284594
"711","washington_1953",804161.376646991,612312
"712","washington_1954",716144.988710481,1227287
"713","washington_1955",1078199.09753829,NA
"714","washington_1956",1206593.99070671,3064501
"715","washington_1957",1377177.55477231,1094397
"716","washington_1958",1401103.41831807,2821084
"717","washington_1959",2276473.97892284,1049415
"718","washington_1960",2337718.56339041,2810978
"719","washington_1961",2339367.61777486,2998798
"720","washington_1962",2706631.88050342,2316552
"721","west virginia_1947",1672789.6194115,NA
"722","west virginia_1948",1602355.29388829,1325534
"723","west virginia_1949",1513086.34723274,35417
"724","west virginia_1950",2994387.58552506,5046975
"725","west virginia_1951",1672080.57635201,1585219
"726","west virginia_1952",1666446.64497577,1127000
"727","west virginia_1953",1540855.56713375,2599304
"728","west virginia_1954",1316209.83282933,142334
"729","west virginia_1955",1891380.99183997,438814
"730","west virginia_1956",2143334.47164969,5689742
"731","west virginia_1957",2389567.3149918,361720
"732","west virginia_1958",2234309.57417143,4233085
"733","west virginia_1959",3235292.45180497,2677974
"734","west virginia_1960",3061675.95629062,2683174
"735","west virginia_1961",2970364.50243244,3236237
"736","west virginia_1962",3348983.50962591,1311576
"737","wisconsin_1947",1789072.19199469,NA
"738","wisconsin_1948",1780560.41222817,2472643
"739","wisconsin_1949",1733978.4550716,4015046
"740","wisconsin_1950",3357141.44843667,2842745
"741","wisconsin_1951",1844792.87456771,75160
"742","wisconsin_1952",1761791.16682698,1517613
"743","wisconsin_1953",1553643.70525499,513577
"744","wisconsin_1954",1340224.17560712,2662456
"745","wisconsin_1955",1970951.36655188,153773
"746","wisconsin_1956",2350506.10561023,3113296
"747","wisconsin_1957",2717380.45401115,5967609
"748","wisconsin_1958",2659230.75249517,2462120
"749","wisconsin_1959",4056513.57844646,3821789
"750","wisconsin_1960",4068837.21250311,6743080
"751","wisconsin_1961",4003958.64756608,2450524
"752","wisconsin_1962",4493052.68220195,2215052
"753","wyoming_1947",117819.687116068,NA
"754","wyoming_1948",117401.095489255,212694
"755","wyoming_1949",2e+05,150702
"756","wyoming_1950",207554.169900544,203359
"757","wyoming_1951",2e+05,208409
"758","wyoming_1952",2e+05,461767
"759","wyoming_1953",2e+05,NA
"760","wyoming_1954",2e+05,141614
"761","wyoming_1955",2e+05,282877
"762","wyoming_1956",2e+05,NA
"763","wyoming_1957",205250.646486368,951575
"764","wyoming_1958",205114.728942246,716949
"765","wyoming_1959",315103.103275523,143019
"766","wyoming_1960",313325.640365702,245438
"767","wyoming_1961",306604.371844255,370795
"768","wyoming_1962",340415.149629644,59883
